EmployeeID,Name,Gender,Citizenship,Languages,Department,Salary,SSN,Age,Years of Experience
188,Tiffany Cox,Female,South Korea,"Hindi, Mandarin",Marketing,119494,569-90-3687,34,13
189,Vanessa Taylor,Male,China,None,Legal,148759,686-63-9641,42,21
190,Ashley Caldwell,Male,India,"Mandarin, French",Legal,141558,525-87-6344,61,40
191,Kevin Holland,Female,USA,Hindi,Product,99826,141-79-0132,55,34
192,Monica Smith,Male,USA,Mandarin,Operations,69532,285-96-5738,56,35
193,Debra Rowe,Male,Taiwan,None,Administrative,82512,103-05-4355,39,18
194,Elizabeth Reynolds,Male,China,None,Sales,74528,109-84-2174,22,1
195,Nicholas Smith,Male,USA,"French, Spanish",Product,93397,371-42-5752,64,43
196,Derek Schultz,Male,Canada,None,Human Resource,146793,660-32-2657,39,18
197,Teresa Smith,Male,USA,"French, Arabic",Operations,75546,851-59-5896,60,39
198,Francisco Harrington,Female,USA,"Hindi, Spanish",Operations,105770,334-72-2975,65,44
199,Joshua Fernandez,Female,USA,"Mandarin, French",Product,149117,472-04-5616,43,22
200,Taylor Kennedy,Male,USA,None,Human Resource,110112,664-44-8668,48,27
201,Rodney Evans,Male,China,Hindi,I/T,94874,128-91-7155,65,44
202,Sharon Mckenzie,Female,USA,"Hindi, French",Legal,52563,491-86-7178,63,42
203,Jonathan Baker,Female,USA,None,I/T,106139,778-08-3712,22,1
204,Autumn Black,Female,China,"Arabic, Spanish",Legal,70301,340-92-9601,43,22
205,Melinda Murillo,Male,USA,None,Operations,127490,401-77-4977,48,27
206,Marisa Hill,Female,USA,French,Product,58881,846-93-6317,45,24
207,Timothy Butler,Male,China,None,Administrative,63835,197-55-9477,36,15
208,Nicole Ross,Female,China,"Spanish, Hindi",Marketing,102920,025-79-7622,30,9
209,Stephanie Campbell,Male,USA,"Arabic, Hindi",Marketing,63447,241-66-7062,46,25
210,Alexander Sexton,Male,USA,"Mandarin, French",Operations,118592,304-80-3725,53,32
211,Jaclyn Scott,Female,India,"French, Mandarin",Product,64003,464-44-7702,64,43
212,Jim Mcclain,Male,USA,Mandarin,Marketing,52492,552-70-2126,46,25
213,Laurie Jennings,Male,USA,"French, Hindi",Product,147967,867-33-7659,65,44
214,Howard Cruz,Male,USA,"Mandarin, Hindi",Marketing,134459,371-40-2072,25,4
215,Lisa Armstrong,Female,India,None,I/T,124570,831-50-3872,47,26
216,Kristen Gardner,Male,Taiwan,Hindi,Sales,83407,418-94-6442,57,36
217,Fred Hernandez,Male,USA,"Hindi, Spanish",Operations,97512,361-99-7148,51,30
218,Grace Schultz,Female,India,Spanish,I/T,85640,708-84-6476,46,25
219,Luke White,Male,USA,Mandarin,Product,72714,773-58-6505,48,27
220,Christina Gibbs,Female,India,None,Operations,64905,151-95-9593,32,11
221,Suzanne Bauer,Female,USA,"French, Mandarin",Marketing,85984,517-88-9714,25,4
222,Carol Ramirez,Male,Canada,None,Product,111536,618-08-8410,55,34
223,Luke Jones,Female,USA,Mandarin,Operations,67283,313-12-2750,61,40
224,Dylan Wright,Male,Canada,"Spanish, French",Product,92378,661-32-7595,22,1
225,David Malone,Male,India,Arabic,Administrative,79868,211-86-6210,54,33
226,Theresa Miller,Male,USA,Hindi,Administrative,59601,637-54-9155,42,21
227,Marilyn Terry,Male,Philippines,"Mandarin, Arabic",Legal,56345,692-95-5262,49,28
228,Lisa Thompson,Female,Canada,None,Administrative,65931,472-44-7516,46,25
229,Amanda Campos,Female,China,"Spanish, Hindi",Finance,123692,539-66-2699,22,1
230,Luis Daniels,Female,USA,"Hindi, Mandarin",Product,92727,451-99-7239,32,11
231,Rachel Mayo,Male,China,None,Operations,98886,767-42-2190,45,24
232,Cynthia Whitaker,Female,China,Spanish,Operations,63970,512-33-4124,51,30
233,Robert Thornton,Male,USA,Mandarin,Marketing,147111,652-51-0313,30,9
234,Lori Alvarez,Male,USA,"Mandarin, French",Finance,59597,119-78-8079,32,11
235,Kenneth Dean,Male,USA,"Mandarin, Spanish",Administrative,59709,638-35-9301,39,18
236,Brian Thomas,Male,USA,Mandarin,Administrative,124749,243-30-9346,47,26
237,Tracy Pineda,Male,USA,"Arabic, Hindi",Operations,147004,702-91-8509,38,17
238,Robin Horne,Male,USA,Hindi,Operations,85184,886-21-8919,46,25
239,Michael Knight,Female,USA,Spanish,I/T,145392,131-74-3073,62,41
240,Tony Harris,Female,Canada,None,Product,55781,087-12-2919,62,41
241,Lisa Taylor,Male,USA,Arabic,Operations,75772,712-87-8885,23,2
242,Taylor Mitchell,Male,USA,None,Product,141659,524-12-9970,54,33
243,Ashlee Cisneros,Male,India,Mandarin,I/T,129158,311-69-5270,49,28
244,Samantha Johnson,Male,India,"Hindi, Spanish",Product,114629,005-01-3881,39,18
245,Mrs. Katherine Williams,Female,USA,"Hindi, French",Operations,75423,268-33-9214,50,29
246,Jerry Gonzalez,Female,China,"Mandarin, Arabic",Product,77003,447-54-6741,49,28
247,Amy Barnes,Female,Philippines,French,Administrative,112415,809-63-8830,46,25
248,Joshua Stephens,Male,USA,None,Operations,55188,372-78-1988,54,33
249,Heather Kaufman,Male,USA,Hindi,Operations,128481,873-35-9006,50,29
250,Barry Keller,Male,China,None,Marketing,129329,233-90-0346,43,22
251,Megan Anderson,Female,India,None,Product,64289,423-29-7982,51,30
252,Holly Humphrey,Female,USA,"Mandarin, French",Sales,85895,093-91-8671,47,26
253,Shelly Gonzalez,Female,India,Arabic,Operations,117189,715-93-5033,61,40
254,Karen Anderson,Female,USA,None,Operations,100541,105-15-6494,64,43
255,Evan Morrison,Female,USA,None,Product,122877,053-28-6405,54,33
256,Dwayne Perry,Male,China,"Arabic, Spanish",Sales,116832,667-49-2076,36,15
257,Brittany Thomas,Male,South Korea,French,Legal,130587,885-90-8756,58,37
258,Justin Parsons,Male,USA,"Spanish, Mandarin",Operations,101547,418-96-0752,63,42
259,Mikayla Hall,Female,USA,Hindi,Operations,131559,275-94-5156,33,12
260,Larry Ortega,Male,USA,"Hindi, Spanish",Finance,70177,298-95-7184,22,1
261,Teresa Peck,Male,USA,None,Product,134468,700-74-9545,42,21
262,Holly Blanchard,Female,USA,"Spanish, French",Product,134667,004-23-9211,51,30
263,Hector Graves,Female,India,Spanish,Operations,72140,746-24-8437,36,15
264,Rebecca Bruce,Male,India,"French, Hindi",Operations,143081,321-60-7988,58,37
265,James Obrien,Female,USA,None,Administrative,84098,088-38-0528,36,15
266,Haley Tran,Female,USA,None,Operations,110688,253-89-9231,55,34
267,Curtis Davis,Female,USA,"Spanish, Arabic",I/T,53868,551-18-5319,23,2
268,Wayne Floyd,Male,USA,French,Legal,52138,055-11-6744,59,38
269,Kristina Murphy,Male,China,None,Finance,133092,020-43-5651,42,21
270,Sarah Garrison,Female,USA,Spanish,Marketing,121656,216-49-8663,26,5
271,Ronald Mcintosh,Female,USA,Hindi,Product,142623,107-32-7157,41,20
272,Timothy Roberts,Female,USA,"Spanish, French",I/T,125917,549-38-1361,30,9
273,Kristen Price,Female,India,None,Product,100146,832-87-1516,45,24
274,Kaitlin Jones,Male,India,None,I/T,57721,053-08-4441,46,25
275,Daniel Palmer,Male,India,None,Product,55168,002-99-6630,43,22
276,Susan Bolton,Male,USA,None,Marketing,126125,246-19-8865,25,4
277,Jennifer Haas,Female,India,None,Operations,100393,471-94-7455,31,10
278,Alexander Hooper,Female,USA,"Mandarin, Hindi",Human Resource,90664,173-27-6219,43,22
279,Megan Murphy,Female,USA,"Mandarin, Arabic",Sales,76721,697-05-2428,35,14
280,Heather Sanchez,Female,Philippines,"Arabic, Hindi",Operations,95718,395-52-6554,25,4
281,Angela Simpson,Female,USA,"Hindi, Mandarin",Product,75038,444-15-3672,47,26
282,Jasmine Allen,Male,India,None,Human Resource,127069,835-51-1272,28,7
283,Faith Watkins,Male,China,Mandarin,Operations,84065,711-85-8132,24,3
284,Nicholas Brown,Male,USA,Spanish,Sales,148877,631-59-4201,57,36
285,Stacey Franco,Male,South Korea,None,Operations,70465,795-27-1560,54,33
286,Jorge Edwards,Male,USA,"Hindi, Arabic",Legal,60274,206-03-6849,48,27
287,John May,Female,USA,"Hindi, French",Operations,82712,515-69-6351,58,37
288,Laura Smith,Female,USA,None,I/T,128977,222-26-1416,23,2
289,Heather Smith,Female,USA,"Spanish, Mandarin",I/T,142414,083-28-7942,43,22
290,Heather Romero,Female,USA,None,Sales,118078,165-95-9499,63,42
291,Manuel Jones,Female,South Korea,None,Product,145716,738-10-6003,59,38
292,Kathleen Booker MD,Male,USA,"Hindi, Spanish",Operations,85494,715-19-5453,42,21
293,Travis West,Female,China,None,Human Resource,70555,588-43-0427,60,39
294,Billy Ferguson,Female,India,Hindi,Product,143096,454-54-3971,63,42
295,Michael Newman,Female,Canada,None,I/T,112370,535-59-7326,58,37
296,Michael Willis,Female,India,Mandarin,Human Resource,121815,731-48-2052,46,25
297,Trevor Burgess,Female,USA,"French, Spanish",Product,132995,521-48-0481,23,2
298,Teresa Gomez,Female,Philippines,"French, Hindi",Marketing,94619,299-42-8583,65,44
299,Jennifer Carlson,Female,China,"French, Spanish",Operations,96001,810-43-7030,34,13
300,Christopher Johnson,Male,USA,None,Administrative,65860,592-92-6651,63,42
301,Kristen Foster,Female,USA,None,Finance,51673,324-83-7771,61,40
302,Steve Murray,Male,USA,None,Finance,123718,108-95-1725,56,35
303,Derrick Ramos,Male,China,Spanish,Operations,100016,281-35-3776,29,8
304,Kim Morales,Male,USA,None,Product,81485,182-65-4709,25,4
305,Mark Johnson,Female,USA,None,Human Resource,56172,690-11-6696,40,19
306,Patricia Miller,Male,USA,Mandarin,Sales,82654,672-86-6663,33,12
307,John Thomas,Male,China,None,Sales,114611,056-01-3691,53,32
308,Andre Roberts,Male,USA,None,I/T,137923,337-56-4443,57,36
309,Richard Baker,Male,Philippines,None,Administrative,72417,249-14-4420,32,11
310,Brett Schwartz,Female,India,None,Operations,111790,179-14-4124,41,20
311,Roy Brown,Male,Canada,"French, Spanish",Operations,100492,509-08-4743,63,42
312,Jared Gordon,Female,USA,Hindi,Administrative,69929,232-42-9370,43,22
313,James Patterson,Female,USA,"Hindi, Arabic",Operations,73166,620-27-1405,36,15
314,Michelle Rodriguez,Male,USA,None,I/T,53871,294-15-7541,36,15
315,Pamela Garcia,Male,USA,"Spanish, French",Product,106963,055-13-9237,31,10
316,Joseph Singleton,Male,USA,Hindi,Marketing,114859,145-60-3332,23,2
317,Ralph Thomas,Female,USA,"Spanish, French",Operations,91460,441-15-6319,37,16
318,Sara Aguilar,Male,USA,"French, Arabic",Human Resource,88419,042-28-1896,61,40
319,Jane Walton,Male,China,"French, Arabic",Operations,126300,653-53-2270,52,31
320,Javier Shaffer,Male,USA,None,Human Resource,140764,421-95-0367,49,28
321,Jesse Welch,Female,India,"Mandarin, French",Operations,50706,265-78-3125,64,43
322,Megan Moses,Male,USA,Arabic,Product,53913,053-83-7802,45,24
323,Aaron Larson,Male,China,"Hindi, Mandarin",Marketing,70584,725-20-7661,34,13
324,Bryan Swanson,Male,India,None,Legal,76218,379-14-4391,42,21
325,Stacy Jackson,Female,USA,None,I/T,78361,499-27-4634,33,12
326,Brian Lawrence,Male,Philippines,French,Sales,95908,669-99-8531,26,5
327,Kelly Carter,Female,USA,None,Administrative,113914,054-39-3439,40,19
328,Jack Spence,Female,China,"Hindi, French",Legal,97973,548-71-2438,35,14
329,Amy Adams,Female,USA,"Mandarin, French",Finance,58609,107-28-8681,22,1
330,Melanie Davis,Male,USA,None,Product,79334,771-37-2785,53,32
331,Dana Hoover,Male,India,"French, Mandarin",Human Resource,56948,831-54-2223,35,14
332,Dustin Murphy,Female,USA,"Hindi, French",Operations,67624,794-90-4712,45,24
333,Susan Shaffer,Male,India,None,Marketing,91473,240-99-1270,60,39
334,Ashlee Lewis,Male,India,Mandarin,Product,92296,778-59-6123,49,28
335,Karen Conway,Female,Taiwan,French,Product,125254,551-04-7483,56,35
336,Evan Perez,Female,China,"Hindi, Arabic",Product,94121,133-65-3205,38,17
337,Samuel Miller,Female,USA,"French, Mandarin",Marketing,82897,176-29-5255,53,32
338,Scott Green,Male,USA,"French, Arabic",Administrative,112097,844-27-1997,37,16
339,Jamie Hines,Male,India,"Spanish, Hindi",Sales,102548,016-23-9189,45,24
340,Sharon Coleman,Male,China,None,Operations,145858,482-59-1965,64,43
341,Vanessa Simpson,Female,China,None,Administrative,107952,369-99-0489,61,40
342,Tony Pope,Male,USA,French,Human Resource,73825,361-76-9261,52,31
343,Andrew Smith,Male,USA,None,Operations,140837,267-55-8012,24,3
344,Taylor Howe,Female,India,None,Operations,51131,496-99-7103,56,35
345,Deanna Fischer,Female,USA,Arabic,Administrative,57908,637-42-0845,52,31
